value,tag
abortive,JJ
therapy,NN
migraine,NN
It,PRP
potent,NN
NSAID,NNP
also,RB
available,JJ
suppository,JJ
form,NN
may,MD
helpful,JJ
nauseated,JJ
patients,NNS
Indomethacin,NNP
suppositories,VBZ
contain,VBP
mg,NN
drug,NN
suppositories,NNS
may,MD
cut,VBN
halves,NNS
thirds,NNS
patients,NNS
recurrent,NN
studies,NNS
comparing,VBG
relative,JJ
efficacy,NN
different,JJ
NSAIDs,NNP
If,IN
one,CD
NSAID,NNP
ineffective,JJ
different,JJ
drug,NN
may,MD
tried,VBN
See,VB
NSAIDs,NNP
Therapeutic,JJ
use,NN
variability,NN
response,NN
adults,NNS
Acetaminophen,NNP
Acetaminophen,NNP
effective,JJ
abortive,JJ
agent,NN
patients,NNS
This,DT
illustrated,VBN
randomized,JJ
trial,NN
patients,NNS
migraine,NN
found,VBD
acetaminophen,NN
dose,NN
mg,NN
highly,RB
effective,JJ
treating,VBG
pain,NN
functional,JJ
disability,NN
photophobia,NN
phonophobia,RB
although,IN
study,NN
excluded,VBD
patients,NNS
severe,JJ
symptoms,NNS
requiring,VBG
bed,NN
rest,NN
associated,VBN
vomiting,VBG
percent,NN
time,NN
used,VBN
combination,NN
NSAIDs,NNP
The,DT
combination,NN
found,VBN
alleviate,VB
headaches,NNS
patients,NNS
uncomplicated,JJ
migraine,NN
one,CD
report,NN
The,DT
serotonin,NN
agonists,NNS
triptans,NNS
effective,JJ
acute,JJ
treatment,NN
migraine,NN
The,DT
triptans,NNS
developed,VBN
specifically,RB
treat,VB
migraine,JJ
However,RB
triptan,JJ
responsiveness,NN
considered,VBN
diagnostic,JJ
migraine,NN
primary,JJ
headaches,NNS
secondary,JJ
headaches,NNS
may,MD
also,RB
improve,VB
triptan,JJ
treatment,NN
See,VB
Pathophysiology,NNP
clinical,JJ
manifestations,NNS
diagnosis,NN
migraine,NN
adults,NNS
All,DT
triptans,NNS
inhibit,VBP
release,NN
vasoactive,JJ
peptides,NNS
promote,JJ
vasoconstriction,NN
block,NN
pain,NN
pathways,NNS
brainstem,NN
Triptans,NNPS
inhibit,JJ
transmission,NN
trigeminal,JJ
nucleus,NN
caudalis,NN
thereby,RB
blocking,VBG
afferent,NN
input,NN
second,JJ
order,NN
neurons,NNS
effect,NN
probably,RB
mediated,VBN
reducing,VBG
levels,NNS
calcitonin,NN
peptide,NN
CGRP,NNP
See,VB
Pathophysiology,NNP
clinical,JJ
manifestations,NNS
diagnosis,NN
migraine,NN
adults,NNS
Triptans,NNPS
may,MD
also,RB
activate,VB
receptors,NNS
descending,VBG
brainstem,NN
pathways,NNS
thereby,RB
inhibit,VB
dural,JJ
nociception,NN
efficacy,NN
The,DT
available,JJ
triptans,NNS
include,VBP
sumatriptan,JJ
zolmitriptan,NN
naratriptan,RB
rizatriptan,NN
almotriptan,NN
eletriptan,NN
frovatriptan,NN
Sumatriptan,NNP
given,VBN
subcutaneous,JJ
injection,NN
usually,RB
administered,VBN
autoinjector,NN
thigh,NN
nasal,NN
spray,NN
nasal,JJ
powder,NN
orally,RB
Zolmitriptan,NNP
also,RB
available,JJ
nasal,JJ
oral,JJ
use,NN
The,DT
others,NNS
available,JJ
oral,JJ
use,NN
number,NN
randomized,VBN
controlled,VBN
trials,NNS
systematic,JJ
reviews,NNS
found,VBN
triptans,NNS
effective,JJ
treatment,NN
acute,JJ
migraine,NN
The,DT
range,NN
findings,NNS
illustrated,VBN
following,JJ
reports,NNS
In,IN
six,CD
randomized,NNS
controlled,VBN
trials,NNS
eletriptan,NN
involving,VBG
patients,NNS
eletriptan,VBP
doses,NNS
mg,NN
significantly,RB
better,JJR
placebo,NN
main,JJ
outcomes,NNS
including,VBG
headache,NN
response,NN
one,CD
two,CD
hours,NNS
sustained,JJ
relief,NN
hours,NNS
Pain,NNP
relief,NN
dose,JJ
dependent,JJ
mg,NN
dose,NN
providing,VBG
statistically,RB
significant,JJ
greater,JJR
pain,NN
relief,NN
mg,NN
hours,NNS
The,DT
drug,NN
well,RB
tolerated,VBN
caused,VBN
major,JJ
harm,NN
The,DT
incidence,NN
minor,JJ
side,NN
effects,NNS
also,RB
dose,RB
related,JJ
adverse,JJ
effects,NNS
transient,JJ
reversible,JJ
Eletriptan,NNP
available,JJ
mg,JJ
tablets,NNS
United,NNP
States,NNPS
mg,NN
recommended,VBN
patients,NNS
At,IN
least,JJS
three,CD
randomized,VBN
trials,NNS
found,VBN
naratriptan,RB
significantly,RB
improves,VBZ
acute,JJ
migraine,NN
relief,NN
compared,VBN
placebo,JJ
In,IN
one,CD
studies,NNS
dose,NN
mg,NN
effective,JJ
producing,VBG
headache,NN
relief,NN
four,CD
hours,NNS
adverse,JJ
event,NN
rate,NN
similar,JJ
placebo,VB
Adverse,JJ
events,NNS
appear,VB
dose,JJ
second,JJ
study,NN
patients,NNS
respond,VB
sumatriptan,VB
mg,NN
first,JJ
attack,NN
significantly,RB
superior,JJ
response,NN
naratriptan,VB
mg,NNS
compared,VBN
placebo,NN
second,JJ
migraine,NN
attack,NN
one,CD
week,NN
later,RB
suggesting,VBG
patients,NNS
respond,VB
one,CD
triptan,NN
may,MD
respond,VB
another,DT
One,CD
problem,NN
study,NN
mg,NN
dose,NN
sumatriptan,NN
used,VBN
often,RB
suboptimal,JJ
On,IN
hand,NN
worthwhile,JJ
try,VB
another,DT
triptan,NN
response,NN
The,DT
efficacy,NN
rizatriptan,NN
acute,JJ
migraine,NN
demonstrated,VBN
systematic,JJ
review,NN
multiple,JJ
randomized,VBN
studies,NNS
Significant,JJ
benefit,NN
rizatriptan,NN
compared,VBN
placebo,NN
shown,VBN
mg,NNS
dose,NN
rizatriptan,NN
five,CD
main,JJ
efficacy,NN
outcomes,NNS
ranging,VBG
relief,NN
hours,NNS
The,DT
mg,NN
dose,NN
effective,JJ
mg,NN
The,DT
common,JJ
adverse,JJ
effects,NNS
dizziness,JJ
nausea,NN
somnolence,NN
one,CD
study,NN
effects,NNS
dose,JJ
The,DT
subcutaneous,JJ
oral,JJ
intranasal,JJ
preparations,NNS
sumatriptan,NNS
proven,VBN
efficacy,NN
randomized,JJ
trials,NNS
acute,JJ
migraine,NN
therapy,NN
established,VBN
systematic,JJ
reviews,NNS
sumatriptan,NN
given,VBN
mg,NN
The,DT
effective,JJ
dose,NN
oral,JJ
sumatriptan,NN
mg,NN
mg,NNS
dose,VBP
may,MD
provide,VB
best,JJS
combination,NN
efficacy,NN
tolerability,NN
The,DT
dose,NN
strength,NN
initial,JJ
dose,NN
may,MD
repeated,VBN
two,CD
hours,NNS
needed,VBN
The,DT
maximum,JJ
dose,NN
mg,NN
per,IN
sumatriptan,NN
mg,NN
effective,JJ
oral,JJ
sumatriptan,NN
use,NN
associated,VBN
adverse,JJ
events,NNS
Subcutaneous,JJ
sumatriptan,NN
fastest,JJS
onset,NN
action,NN
For,IN
acute,JJ
migraine,NN
usual,JJ
initial,JJ
dose,NN
subcutaneous,JJ
sumatriptan,NN
mg,NN
The,DT
dose,NN
may,MD
repeated,VBN
needed,VBN
one,CD
hour,NN
For,IN
patients,NNS
intolerant,JJ
mg,NN
dose,NN
need,VBP
parental,JJ
formulation,NN
eg,NN
due,JJ
protracted,JJ
vomiting,VBG
migraine,NN
experts,NNS
try,VBP
lower,JJR
dose,NN
eg,JJ
mg,NN
Sumatriptan,NNP
injection,NN
commercially,RB
available,JJ
mg,NN
mg,NN
mg,NN
formulations,NNS
The,DT
recommended,JJ
maximum,NN
mg,NN
per,IN
dose,NN
mg,NNS
per,IN
hours,NNS
In,IN
one,CD
trial,NN
subcutaneous,JJ
sumatriptan,NN
patients,NNS
administration,NN
second,JJ
dose,NN
drug,NN
minutes,NNS
first,JJ
respond,VB
well,RB
initially,RB
provided,VBN
little,JJ
additional,JJ
benefit,NN
Common,JJ
side,NN
effects,NNS
subcutaneous,JJ
sumatriptan,NNS
include,VBP
injection,NN
site,NN
reaction,NN
chest,JJ
pressure,NN
heaviness,NN
flushing,VBG
weakness,NN
drowsiness,NN
dizziness,NN
malaise,NN
feeling,NN
warmth,NN
paresthesias,RB
Most,JJS
reactions,NNS
occur,VBP
soon,RB
injection,NN
resolve,VB
spontaneously,RB
within,IN
spray,NN
sumatriptan,NN
liquid,NN
given,VBN
one,CD
insufflation,NN
mg,NNS
single,JJ
nostril,NN
The,DT
dose,NN
may,MD
repeated,VBN
two,CD
hours,NNS
needed,VBN
The,DT
maximum,JJ
dose,NN
mg,NN
per,IN
hours,NNS
Intranasal,NNP
sumatriptan,NN
fewer,JJR
side,NN
effects,NNS
injectable,JJ
formulation,NN
The,DT
common,JJ
side,NN
effect,NN
intranasal,NN
sumatriptan,NN
unpleasant,JJ
sumatriptan,NN
coformulated,VBN
DDM,NNP
permeation,NN
enhancer,NN
rapid,JJ
absorption,NN
systemic,JJ
circulation,NN
given,VBN
single,JJ
insufflation,NN
mg,NN
one,CD
nostril,NN
The,DT
maximum,JJ
dose,NN
mg,NN
per,IN
hours,NNS
individual,JJ
doses,NNS
separated,VBN
least,JJS
one,CD
hour,NN
The,DT
common,JJ
adverse,JJ
reactions,NNS
related,VBN
application,NN
nasal,JJ
discomfort,NN
unpleasant,JJ
taste,NN
throat,NN
powder,NN
sumatriptan,NN
given,VBN
mg,NN
dose,NN
using,VBG
one,CD
mg,NN
capsule,NN
insufflated,VBN
nostril,NN
delivery,NN
device,NN
The,DT
dose,NN
may,MD
repeated,VBN
two,CD
hours,NNS
needed,VBN
The,DT
maximum,JJ
dose,NN
mg,NN
per,IN
hours,NNS
The,DT
common,JJ
adverse,JJ
reactions,NNS
abnormal,JJ
unpleasant,JJ
taste,NN
nasal,JJ
A,DT
number,NN
randomized,JJ
trials,NNS
systematic,JJ
review,NN
proven,VBN
efficacy,NN
zolmitriptan,NN
acute,JJ
migraine,NN
therapy,NN
As,IN
example,NN
one,CD
trial,NN
patients,NNS
migraine,JJ
compared,VBN
four,CD
doses,NNS
zolmitriptan,NN
mg,NN
placebo,NN
There,EX
relationship,NN
terms,NNS
efficacy,NN
adverse,JJ
effects,NNS
mg,NN
appeared,VBD
optimal,JJ
starting,VBG
dose,NN
The,DT
common,JJ
side,NN
effects,NNS
included,VBD
nausea,NN
dizziness,NN
somnolence,NN
paresthesia,NN
fatigue,NN
tightness,NN
throat,NN
chest,NN
The,DT
incidence,NN
unpleasant,JJ
taste,NN
lower,JJR
intranasal,JJ
zolmitriptan,NN
compared,VBN
reported,VBD
trials,NNS
intranasal,JJ
triptan,JJ
The,DT
choice,NN
triptan,NN
individualized,VBN
different,JJ
pharmacologic,NN
properties,NNS
delivery,NN
routes,NNS
may,MD
help,VB
guide,VB
choice,NN
Patients,NNS
respond,VB
well,RB
one,CD
triptan,NN
may,MD
respond,VB
another,DT
trials,NNS
compared,VBN
triptans,NNS
head,VBP
head,NN
making,VBG
difficult,JJ
decide,VB
whether,IN
use,VB
one,CD
versus,NN
another,DT
A,DT
clinical,JJ
trials,NNS
oral,JJ
serotonin,NN
agonists,NNS
included,VBD
patients,NNS
concluded,VBD
available,JJ
oral,JJ
drugs,NNS
effective,JJ
well,RB
tolerated,VBD
The,DT
highest,JJS
likelihood,NN
consistent,JJ
success,NN
found,VBN
rizatriptan,NN
mg,NN
eletriptan,FW
mg,NN
almotriptan,NN
mg,NN
The,DT
findings,NNS
subsequent,JJ
network,NN
suggested,VBD
eletriptan,NN
likely,JJ
triptans,NNS
produce,VB
sustained,JJ
benefit,NN
These,DT
data,NNS
clinical,JJ
experience,NN
suggest,VBP
sumatriptan,NN
rizatriptan,NN
eletriptan,NN
almotriptan,NN
zolmitriptan,NN
similar,JJ
orally,RB
