value,tag
education,NN
Animal,NNP
human,JJ
bites,NNS
Beyond,IN
Basics,NNS
Print,NNP
OverviewTetanus,NNP
serious,JJ
disease,NN
nervous,JJ
system,NN
caused,VBN
bacterium,NN
The,DT
disease,NN
causes,VBZ
muscle,NN
contractions,NNS
particularly,RB
jaw,NN
neck,NN
muscles,NNS
Tetanus,NNP
commonly,RB
known,VBN
lockjaw,NN
Severe,JJ
complications,NNS
tetanus,NN
There,EX
's,VBZ
cure,NN
tetanus,NN
Treatment,NN
focuses,VBZ
managing,VBG
symptoms,NNS
complications,NNS
effects,NNS
tetanus,NN
toxin,NN
resolve,NN
Because,IN
widespread,JJ
use,NN
vaccines,NNS
cases,NNS
tetanus,NN
rare,JJ
United,NNP
States,NNPS
parts,NNS
developed,JJ
world,NN
The,DT
disease,NN
remains,VBZ
threat,NN
people,NNS
n't,RB
date,NN
vaccinations,NNS
It,PRP
's,VBZ
common,JJ
developing,VBG
ServicesBook,NNP
Mayo,NNP
Clinic,NNP
Guide,NNP
Raising,VBG
Healthy,NNP
Child,NNP
SymptomsThe,NNP
average,JJ
time,NN
infection,NN
appearance,NN
signs,NNS
symptoms,NNS
incubation,JJ
period,NN
days,NNS
The,DT
incubation,NN
period,NN
range,VB
days,NNS
The,DT
common,JJ
type,NN
tetanus,NN
called,VBN
generalized,JJ
tetanus,NN
Signs,NNP
symptoms,NNS
begin,VBP
gradually,RB
progressively,RB
worsen,VBN
two,CD
weeks,NNS
They,PRP
usually,RB
start,VBP
jaw,NN
progress,NN
downward,RB
body,NN
Signs,NNP
symptoms,NNS
generalized,JJ
tetanus,NN
include,VBP
Painful,JJ
muscle,NN
spasms,NNS
stiff,NN
immovable,JJ
muscles,NNS
muscle,NN
rigidity,NN
jaw,NN
Tension,NN
muscles,NNS
around,IN
lips,NNS
sometimes,RB
producing,VBG
persistent,JJ
grin,NN
Painful,NNP
spasms,NN
rigidity,NN
neck,NN
muscles,NNS
Difficulty,NNP
swallowing,VBG
Rigid,NNP
abdominal,JJ
muscles,NNS
Progression,NNP
tetanus,NN
results,NNS
repeated,JJ
painful,JJ
spasms,NN
last,JJ
several,JJ
minutes,NNS
generalized,JJ
spasms,NN
Usually,RB
neck,NN
back,RB
arch,NN
legs,JJ
become,NN
rigid,JJ
arms,NNS
drawn,VBN
body,NN
fists,NNS
clenched,VBN
Muscle,NNP
rigidity,NN
neck,NN
abdomen,NNS
may,MD
cause,VB
breathing,VBG
difficulties,NNS
These,DT
severe,JJ
spasms,NNS
may,MD
triggered,VBN
minor,JJ
events,NNS
stimulate,VBP
senses,NNS
loud,JJ
sound,NN
physical,JJ
touch,NN
draft,NN
light,NN
As,IN
disease,NN
progresses,VBZ
signs,NNS
symptoms,NNS
may,MD
include,VB
High,JJ
blood,NN
pressure,NN
Low,NNP
blood,NN
pressure,NN
Rapid,NNP
heart,NN
rate,NN
Fever,NNP
Extreme,NNP
sweating,VBG
Localized,NNP
tetanusThis,NN
uncommon,JJ
form,NN
tetanus,NN
results,NNS
muscles,NNS
spasms,VBP
near,IN
site,NN
wound,NN
While,IN
's,VBZ
usually,RB
less,RBR
severe,JJ
form,NN
disease,NN
progress,VB
generalized,VB
tetanus,NN
Cephalic,NNP
tetanusThis,EX
rare,JJ
form,NN
tetanus,JJ
results,NNS
head,NN
wound,NN
It,PRP
results,NNS
weakened,JJ
muscles,NNS
face,NN
spasms,NN
jaw,NN
muscles,NNS
It,PRP
also,RB
progress,VB
generalized,VB
tetanus,NN
When,WRB
see,VB
doctorTetanus,NN
disease,NN
If,IN
signs,NNS
symptoms,NNS
tetanus,NN
seek,NN
emergency,NN
care,NN
If,IN
simple,NN
clean,JJ
wound,NN
've,VBP
tetanus,NN
shot,NN
within,IN
years,NNS
care,VB
wound,NN
home,NN
Seek,NNP
medical,JJ
care,NN
following,JJ
cases,NNS
You,PRP
've,VBP
tetanus,NN
shot,NN
within,IN
years,NNS
You,PRP
unsure,JJ
last,JJ
tetanus,NN
shot,NN
You,PRP
puncture,NN
wound,NN
foreign,JJ
object,NN
wound,NN
animal,JJ
bite,NN
deep,JJ
cut,NN
Your,PRP$
wound,NN
contaminated,VBN
dirt,NN
soil,NN
feces,NNS
rust,NN
saliva,JJ
doubt,NN
whether,IN
've,VBP
cleaned,VBN
wound,NN
sufficiently,RB
exposure,NN
Contaminated,VBN
wounds,NNS
require,VBP
vaccination,NN
booster,NN
's,VBZ
five,CD
years,NNS
since,IN
last,JJ
tetanus,NN
shot,NN
Request,NNP
Appointment,NN
Mayo,NNP
Clinic,NNP
CausesThe,NNP
bacterium,NN
causes,VBZ
tetanus,NN
called,VBN
Clostridium,NNP
tetani,NN
The,DT
bacterium,NN
survive,VB
dormant,JJ
state,NN
soil,NN
animal,NN
feces,NNS
It,PRP
's,VBZ
essentially,RB
shut,VBN
discovers,VBZ
place,NN
thrive,VB
When,WRB
dormant,JJ
bacteria,NNS
enter,VBP
wound,NN
condition,NN
good,NN
growth,NN
cells,NNS
awakened,JJ
As,IN
growing,VBG
dividing,VBG
release,VBP
toxin,NN
called,VBN
tetanospasmin,NN
The,DT
toxin,NN
impairs,VBZ
nerves,NNS
body,NN
control,NN
muscles,VBZ
Risk,NNP
factorsThe,VBD
greatest,JJS
risk,NN
factor,NN
tetanus,NN
infection,NN
vaccinated,VBN
keeping,VBG
booster,NN
shots,NNS
Other,JJ
factors,NNS
increase,VBP
risk,NN
tetanus,JJ
infection,NN
Cuts,NNS
wounds,NNS
exposed,VBN
soil,VB
manure,VB
A,DT
foreign,JJ
body,NN
wound,NN
nail,NN
splinter,VB
A,DT
history,NN
medical,JJ
conditions,NNS
Infected,VBN
skin,JJ
lesions,NNS
people,NNS
living,VBG
diabetes,NNS
An,DT
infected,JJ
umbilical,JJ
cord,NN
mother,NN
n't,RB
fully,RB
vaccinated,VBN
Shared,NNP
unsanitary,JJ
needles,NNS
illegal,JJ
drug,NN
use,NN
ComplicationsComplications,NNP
tetanus,JJ
infection,NN
may,MD
include,VB
Breathing,NNP
problems,NNS
breathing,VBG
problems,NNS
occur,VB
tightening,VBG
vocal,JJ
cords,NNS
muscle,NN
rigidity,NN
neck,NN
abdomen,NNS
especially,RB
generalized,JJ
spasm,NN
Blockage,NN
lung,NN
artery,NN
pulmonary,JJ
embolism,NN
A,DT
blood,NN
clot,NN
traveled,VBN
elsewhere,RB
body,NN
block,VB
main,JJ
artery,NN
lung,NN
one,CD
branches,NNS
Pneumonia,NNP
A,NNP
lung,NN
infection,NN
caused,VBN
accidentally,RB
inhaling,VBG
something,NN
lungs,NNS
aspiration,NN
pneumonia,NN
may,MD
complication,NN
generalized,JJ
spasms,NNS
Broken,NNP
bones,NNS
Generalized,VBN
spasms,NNS
may,MD
cause,VB
fractures,NNS
spine,NN
bones,NNS
Death,NNP
Death,NN
tetanus,NN
often,RB
caused,VBN
blocked,JJ
airway,NN
spasms,NNS
damage,NN
nerves,NNS
regulate,VBP
breathing,NN
heart,NN
rate,NN
organ,JJ
functions,NNS
PreventionYou,NNP
prevent,VB
tetanus,NN
vaccinated,VBN
Vaccination,NN
childrenThe,JJ
tetanus,NN
vaccine,NN
given,VBN
children,NNS
part,NN
diphtheria,NN
tetanus,NN
toxoids,NNS
acellular,JJ
pertussis,NN
vaccine,NN
DTaP,NNP
Diphtheria,NNP
serious,JJ
bacterial,JJ
infection,NN
nose,JJ
throat,NN
Acellular,JJ
pertussis,NN
also,RB
called,VBD
whooping,JJ
cough,NN
highly,RB
contagious,JJ
respiratory,NN
infection,NN
Children,NNP
tolerate,VB
pertussis,NN
vaccine,NN
may,MD
receive,VB
alternative,JJ
vaccine,NN
called,VBN
DT,NNP
The,DT
DTaP,NNP
series,NN
five,CD
shots,NNS
typically,RB
given,VBN
arm,NN
thigh,NN
children,NNS
ages,NNS
months,NNS
months,NNS
months,NNS
months,NNS
years,NNS
Vaccination,NNP
children,NNS
ages,VBZ
booster,NN
shot,NN
recommended,VBN
children,NNS
age,NN
This,DT
booster,NN
called,VBN
Tdap,NNP
vaccine,NN
If,IN
child,NN
n't,RB
get,VB
booster,NN
shot,NN
age,NN
talk,NN
doctor,NN
appropriate,JJ
options,NNS
Vaccination,NN
adults,NNS
age,NN
olderA,JJ
booster,NN
shot,NN
recommended,VBN
adults,NNS
every,DT
years,NNS
This,DT
may,MD
one,CD
two,CD
vaccines,NNS
Tdap,NNP
Td,NNP
If,IN
n't,RB
vaccinated,VBN
tetanus,NN
child,NN
unsure,JJ
vaccination,NN
status,NN
see,VB
doctor,NN
getting,VBG
Tdap,NNP
vaccine,NN
Vaccination,NNP
pregnancyA,JJ
booster,NN
recommended,VBN
third,JJ
trimester,NN
pregnancy,NN
regardless,RB
mother,NN
's,POS
vaccination,NN
schedule,NN
Other,JJ
recommendations,NNS
Ask,IN
doctor,NN
review,VB
vaccination,NN
status,NN
regularly,RB
Check,VB
whether,IN
current,JJ
vaccination,NN
schedule,NN
planning,VBG
international,JJ
travel,NN
More,JJR
InformationTetanus,JJ
shots,NNS
Is,VBZ
risky,JJ
receive,VB
'extra,NNP
',POS
boosters,NNS
By,IN
Mayo,NNP
Clinic,NNP
Staff,NNP
Request,NNP
Appointment,NN
Mayo,NNP
Clinic,NNP
Diagnosis,NNP
treatment,NN
June,NNP
Print,NNP
Share,NNP
FacebookTwitter,NNP
Show,NNP
references,VBZ
Bennett,NNP
JE,NNP
et,RB
al,NN
Tetanus,NNP
Clostridium,NNP
tetani,NN
In,IN
Mandell,NNP
Douglas,NNP
Bennett,NNP
's,POS
Principles,NNP
Practice,NNP
Infectious,NNP
Diseases,NNP
ed,NN
Elsevier,NNP
https,NN
Accessed,VBN
March,NNP
Tetanus,NN
For,IN
clinicians,NNS
Centers,NNPS
Disease,NNP
Control,NNP
Prevention,NNP
https,NN
Accessed,VBN
March,NNP
Thwaites,VBZ
Tetanus,NNP
https,NN
Accessed,VBN
March,NNP
AskMayoExpert,NNP
Tetanus,NNP
diphtheria,NN
pertussis,NN
Tdap,NNP
vaccination,NN
Mayo,NNP
Clinic,NNP
Fowler,NNP
GC,NNP
et,FW
eds,NNS
Wound,IN
dressing,VBG
In,IN
Pfenninger,NN
Fowler,NNP
's,POS
Procedures,NNS
Primary,NNP
Care,NNP
ed,NN
Elsevier,NNP
https,NN
Accessed,VBN
March,NNP
Havers,NNPS
FP,NNP
et,RB
al,NN
Use,NNP
tetanus,NN
toxoid,NN
reduced,VBD
diphtheria,NN
toxoid,NN
acellular,JJ
pertussis,NN
vaccines,NNS
Updated,VBN
recommendations,NNS
advisory,JJ
committee,NN
immunization,NN
practices,NNS
United,NNP
States,NNPS
MMWR,NNP
Morbidity,NNP
Mortality,NNP
Weekly,NNP
Report,NNP
Tetanus,NNP
lockjaw,NN
Department,NNP
Health,NNP
Human,NNP
Services,NNPS
https,NN
Accessed,VBN
March,NNP
Emergency,NN
wound,VBD
management,NN
healthcare,NN
professionals,NNS
Centers,NNPS
Disease,NNP
Control,NNP
Prevention,NNP
https,NN
Accessed,VBN
March,NNP
Emergency,NN
wound,NN
care,NN
natural,JJ
disaster,NN
Centers,NNPS
Disease,NNP
Control,NNP
Prevention,NNP
https,NN
Accessed,VBN
March,NNP
Related,VBN
Tetanus,NNP
shots,NNS
Is,VBZ
risky,JJ
receive,VB
'extra,NNP
',POS
boosters,NNS
Products,NNPS
Services,NNPS
Book,NN
Mayo,NNP
Clinic,NNP
Guide,NNP
Raising,VBG
Healthy,NNP
Child,NNP
TetanusSymptoms,NNP
causesDiagnosis,NN
treatment,NN
Advertisement,NNP
Mayo,NNP
Clinic,NNP
endorse,VB
companies,NNS
products,NNS
Advertising,NN
revenue,NN
supports,VBZ
mission,NN
Advertising,NNP
Sponsorship,NNP
Policy,NNP
Opportunities,NNP
Ad,NNP
Choices,NNP
Mayo,NNP
Clinic,NNP
Press,NNP
Check,NNP
special,JJ
offers,NNS
books,NNS
newsletters,NNS
Mayo,NNP
Clinic,NNP
Try,NNP
Mayo,NNP
Clinic,NNP
Health,NNP
Letter,NNP
get,NN
FREE,NNP
bookNEW,NN
Back,NNP
Neck,NNP
HealthMayo,NNP
Clinic,NNP
Digestive,NNP
HealthNEW,NNP
Live,JJ
Younger,JJR
LongerSimple,NNP
effective,JJ
Home,NNP
Remedies,NNP
Patient,NNP
Care,NNP
Health,NNP
Information,NNP
Diseases,NNP
Conditions,NNP
Tetanus,NNP
Bacterial,JJ
infection,NN
characterized,VBN
muscle,NN
spasms,NNS
italic,JJ
normal,JJ
This,DT
article,NN
disease,NN
For,IN
physiological,JJ
use,NN
term,NN
see,VBP
Tetanic,JJ
contraction,NN
Medical,JJ
border,NN
none,NN
margin,NN
width,NN
auto,NN
clear,JJ
none,NN
float,NN
none,NN
transparent,NN
margin,NN
auto,NN
TetanusOther,NNP
namesLockjawMuscle,NN
spasms,NN
specifically,RB
opisthotonos,RB
person,NN
tetanus,NN
Painting,NN
Sir,NNP
Charles,NNP
Bell,NNP
diseaseSymptomsMuscle,NN
spasms,NNS
fever,NN
headache,NN
Usual,NNP
days,NNS
following,VBG
exposure,NN
DurationMonths,NNP
CausesClostridium,NNP
tetani,VBZ
Risk,NNP
factorsBreak,NN
skin,NN
Diagnostic,NNP
methodBased,VBD
symptoms,NNS
PreventionTetanus,NNP
vaccine,NN
TreatmentTetanus,NNP
immune,NN
globulin,NN
muscle,NN
relaxants,NNS
mechanical,JJ
ventilation,NN
risk,NN
death,NN
Tetanus,NNP
also,RB
known,VBN
lockjaw,NN
bacterial,JJ
infection,NN
characterized,VBN
muscle,NN
spasms,NNS
In,IN
common,JJ
type,NN
spasms,NNS
begin,VBP
jaw,NN
progress,NN
rest,NN
body,NN
Each,DT
spasm,NN
usually,RB
lasts,VBZ
minutes,NNS
Spasms,NNP
occur,VBP
frequently,RB
three,CD
four,CD
weeks,NNS
Some,DT
spasms,NNS
may,MD
severe,JJ
enough,RB
fracture,VB
bones,NNS
Other,JJ
symptoms,NNS
tetanus,NN
may,MD
include,VB
fever,NN
sweating,VBG
headache,NN
trouble,NN
swallowing,NN
high,JJ
blood,NN
pressure,NN
fast,JJ
heart,NN
rate,NN
Onset,NNP
symptoms,NNS
typically,RB
three,CD
days,NNS
following,VBG
infection,NN
Recovery,NN
may,MD
take,VB
months,NNS
About,IN
ten,JJ
percent,NN
cases,NNS
prove,VBP
fatal,JJ
Tetanus,NNP
caused,VBN
infection,NN
bacterium,NN
Clostridium,NNP
tetani,NN
commonly,RB
found,VBN
soil,NN
saliva,NN
dust,NN
manure,NN
The,DT
bacteria,NNS
generally,RB
enter,VBP
break,NN
skin,NN
cut,NN
puncture,NN
wound,VBN
contaminated,JJ
object,NN
They,PRP
produce,VBP
toxins,NNS
interfere,RB
normal,JJ
muscle,NN
contractions,NNS
Diagnosis,NNP
based,VBN
presenting,NN
signs,NNS
symptoms,NNS
The,DT
disease,NN
spread,VB
people,NNS
Tetanus,NNP
prevented,VBN
immunization,NN
tetanus,NN
vaccine,NN
In,IN
significant,JJ
wound,NN
fewer,JJR
three,CD
doses,NNS
vaccine,NN
vaccination,NN
tetanus,NN
immune,NN
globulin,NN
recommended,VBN
The,DT
wound,NN
cleaned,VBN
dead,JJ
tissue,NN
removed,VBN
In,IN
infected,VBN
tetanus,EX
immune,JJ
globulin,NN
unavailable,JJ
intravenous,JJ
immunoglobulin,NN
IVIG,NNP
used,VBN
Muscle,NNP
relaxants,NNS
may,MD
used,VBN
control,VB
spasms,JJ
Mechanical,NNP
ventilation,NN
may,MD
required,VBN
person,NN
's,POS
breathing,NN
affected,VBN
Tetanus,NNP
occurs,VBZ
parts,NNS
world,NN
frequent,JJ
hot,JJ
wet,JJ
climates,NNS
soil,NN
high,JJ
organic,JJ
content,NN
In,IN
infections,NNS
deaths,NNS
globally,RB
This,DT
deaths,NNS
In,IN
US,NNP
cases,NNS
per,IN
year,NN
almost,RB
vaccinated,VBN
An,DT
early,JJ
description,NN
disease,NN
made,VBN
Hippocrates,NNS
century,NN
BC,NNP
The,DT
cause,NN
disease,NN
determined,VBN
Antonio,NNP
Carle,NNP
Giorgio,NNP
Rattone,NNP
University,NNP
Turin,NNP
vaccine,NN
developed,VBN
Contents,NNS
Signs,NNP
symptoms,VBD
Incubation,NNP
period,NN
Generalized,NNP
tetanus,NN
Neonatal,NNP
tetanus,VBD
Local,NNP
tetanus,NN
Cephalic,NNP
tetanus,VBD
Cause,NNP
Pathophysiology,NNP
Neurospecific,NNP
binding,VBG
Internalization,NNP
Membrane,NNP
translocation,NN
Enzymatic,NNP
target,NN
cleavage,NN
Diagnosis,NNP
Prevention,NNP
prophylaxis,NN
Treatment,NNP
Mild,NNP
tetanus,VBD
Severe,NNP
tetanus,NN
Epidemiology,NN
History,NNP
Etymology,NNP
Research,NNP
See,NNP
also,RB
References,NNS
External,NNP
links,NNS
Signs,NNP
symptoms,NNS
edit,NN
Tetanus,NNP
often,RB
begins,VBZ
mild,JJ
spasms,NNS
jaw,NN
known,VBN
lockjaw,NN
trismus,NN
The,DT
spasms,NN
also,RB
affect,VB
facial,JJ
muscles,NNS
resulting,VBG
appearance,NN
called,VBN
risus,NN
sardonicus,NN
Chest,NNP
neck,NN
back,RB
abdominal,JJ
muscles,NNS
buttocks,NNS
may,MD
affected,VBN
Back,NNP
muscle,NN
spasms,NNS
often,RB
cause,VBP
arching,VBG
called,VBN
opisthotonos,NN
Sometimes,VBZ
spasms,JJ
affect,NN
muscles,NNS
help,VBP
breathing,NN
lead,VB
breathing,VBG
problems,NNS
Prolonged,VBD
muscular,JJ
action,NN
causes,VBZ
sudden,JJ
powerful,JJ
painful,JJ
contractions,NNS
muscle,NN
groups,NNS
called,VBN
tetany,NN
These,DT
episodes,NNS
cause,VB
fractures,NNS
muscle,NN
tears,NNS
Other,JJ
symptoms,NNS
include,VBP
fever,RB
headache,NN
restlessness,NN
irritability,NN
feeding,VBG
difficulties,NNS
breathing,VBG
problems,NNS
burning,VBG
sensation,NN
urination,NN
urinary,JJ
retention,NN
loss,NN
stool,NN
control,NN
Even,RB
treatment,NN
people,NNS
contract,NN
tetanus,NN
die,NN
The,DT
mortality,NN
rate,NN
higher,JJR
unvaccinated,JJ
people,NNS
people,NNS
years,NNS
age,NN
Incubation,NNP
period,NN
edit,NN
The,DT
incubation,NN
period,NN
tetanus,NN
may,MD
several,JJ
months,NNS
usually,RB
ten,JJ
days,NNS
In,IN
general,JJ
farther,NN
injury,NN
site,NN
central,JJ
nervous,JJ
system,NN
longer,JJR
incubation,NN
period,NN
The,DT
shorter,JJR
incubation,NN
period,NN
severe,JJ
symptoms,NNS
In,IN
trismus,JJ
nascentium,NN
neonatal,JJ
tetanus,NN
symptoms,NNS
usually,RB
appear,VBP
days,NNS
birth,NN
averaging,VBG
days,NNS
On,IN
basis,NN
clinical,JJ
findings,NNS
four,CD
different,JJ
forms,NNS
tetanus,NNS
described,VBN
Generalized,NNP
tetanus,NN
edit,NN
Generalized,NNP
tetanus,NN
common,JJ
type,NN
tetanus,NN
representing,VBG
cases,NNS
The,DT
generalized,JJ
form,NN
usually,RB
presents,VBZ
descending,NN
pattern,NN
The,DT
first,JJ
sign,NN
trismus,JJ
lockjaw,JJ
facial,JJ
spasms,NNS
called,VBN
risus,NN
sardonicus,NN
followed,VBN
stiffness,NN
neck,NN
difficulty,NN
swallowing,VBG
rigidity,NN
pectoral,JJ
calf,JJ
muscles,NNS
Other,JJ
symptoms,NNS
include,VBP
elevated,JJ
temperature,NN
sweating,VBG
elevated,VBD
blood,NN
pressure,NN
episodic,JJ
rapid,JJ
heart,NN
rate,NN
Spasms,NNP
may,MD
occur,VB
frequently,RB
last,JJ
several,JJ
minutes,NNS
body,NN
shaped,VBD
characteristic,JJ
form,NN
called,VBN
opisthotonos,RB
Spasms,NNP
continue,NN
four,CD
weeks,NNS
complete,JJ
recovery,NN
may,MD
take,VB
months,NNS
Neonatal,NNP
tetanus,NN
edit,NN
Main,NNP
article,NN
Neonatal,JJ
tetanus,NN
Neonatal,NNP
tetanus,NN
trismus,JJ
nascentium,NN
form,NN
generalized,JJ
tetanus,NN
occurs,VBZ
newborns,NNS
usually,RB
born,VBN
mothers,NNS
vaccinated,VBN
If,IN
mother,NN
vaccinated,VBN
tetanus,NN
infants,NNS
acquire,VB
passive,JJ
immunity,NN
thus,RB
protected,VBN
It,PRP
usually,RB
occurs,VBZ
infection,NN
unhealed,JJ
umbilical,JJ
stump,NN
particularly,RB
stump,NN
cut,VBN
instrument,NN
As,IN
neonatal,JJ
tetanus,NN
common,JJ
many,JJ
developing,VBG
countries,NNS
responsible,JJ
neonatal,JJ
deaths,NNS
In,IN
worldwide,JJ
death,NN
toll,NN
newborns,NNS
As,IN
result,NN
public,JJ
health,NN
campaign,NN
death,NN
toll,NN
neonatal,JJ
tetanus,NN
reduced,VBN
disease,NN
largely,RB
eliminated,VBN
countries,NNS
Neonatal,NNP
tetanus,NN
rare,JJ
developed,JJ
countries,NNS
Local,JJ
tetanus,NN
edit,NN
Local,NNP
tetanus,NN
uncommon,JJ
form,NN
disease,NN
people,NNS
persistent,JJ
contraction,NN
muscles,NNS
anatomic,JJ
area,NN
injury,NN
The,DT
contractions,NNS
may,MD
persist,VB
many,JJ
weeks,NNS
gradually,RB
subsiding,VBG
Local,JJ
tetanus,NN
generally,RB
milder,VBN
cases,NNS
fatal,JJ
may,MD
precede,VB
onset,NN
generalized,JJ
tetanus,NN
Cephalic,NNP
tetanus,NN
edit,NN
Cephalic,NNP
tetanus,NN
rarest,JJ
form,NN
disease,NN
cases,NNS
limited,VBN
muscles,NNS
nerves,NNS
head,NN
It,PRP
usually,RB
occurs,VBZ
trauma,NN
head,NN
area,NN
including,VBG
skull,JJ
fracture,NN
laceration,NN
eye,NN
injury,NN
dental,JJ
extraction,NN
otitis,NN
media,NNS
observed,VBN
injuries,NNS
parts,NNS
body,NN
Paralysis,NN
facial,JJ
nerve,NN
frequently,RB
implicated,VBN
may,MD
cause,VB
lockjaw,NN
facial,JJ
palsy,NN
ptosis,NN
cranial,JJ
nerves,NNS
also,RB
affected,VBN
Cephalic,NNP
tetanus,NN
may,MD
progress,VB
generalized,JJ
form,NN
disease,NN
Due,NNP
rarity,NN
clinicians,NNS
may,MD
unfamiliar,JJ
clinical,JJ
presentation,NN
may,MD
suspect,VB
tetanus,NN
illness,NN
Treatment,NNP
